ID;question
0;bonjour, trompé forum question alors repose ici. pris première fois hier paroxétine matin catastrophe. picotement dasn tous corps annonciateur sueur froide très très massive vomissement. deux crises depuis heure mat. cela semble passer mains reste moites chaude estce normal première fois merci tous
1;motilium soulagera contre nausées
2;médecin prescrit adenyl. ème cachet maux tête terrib ème palpitations, sueurs froides, chaleur intense tête, tremblements, fourmillements lèvre supérieure, difficultés respirer.. dès arrêt médicament tous symptômes disparu. cela déjà arrivé quelque
3;existe forme adaptée enfant ans micropakine
4;medecin soigne rhino pharingite prescrit amoxicilline comme anti biotique. vraiment cette indication
5;viens apprendre enceinte..savez peux poursuivre rubozinc
6;atrax dangereux long terme
7;sous mercilon. nausées saignements
8;atenolol, quoi
9;prend trinordiol fin première plaquette première fois copain. pilule donc bien efficace dès debut douleur poitrine, impression ils peu grossi ossi plus, mal bas ventr,e dois minkiété simplemen, periode dadaptation
10;laroxyl doses faib stress
11;psy dit prendre sertraline matin sertraline soir. peut prendre matin midi
12;sous antiobiotique depuis bientot semaine chopée sais quoi nénétte, gratte,est superficiel démenge point, lié antibiotique
13;quel vaccin contre cancer col uterus
14;épilepsie havlane
15;vaccins dtpe hépatire ils possible pendant grossesse
16;viens être mis sous androtardyl depuis semaine. souhaitais savoir bout combien injections produit commençait faire effets bout combien jours après chaque injection effets faisaient sentir
17;comment traiter dishydrose, dermoval préparation sulfate cuivre mg/l eau bain dermalibour marché
18;peu renseignements acomplia. pris cachet matin. effets indésirab
19;oroken quels risques
20;peut prendre millepertuis fleurs bach meme temps
21;quand termine plaquette peut avoir raports sexuels
22;quelle durée conservation tégrétol
23;pilule trimordiol fais grossir
24;pendant jours sans prise fois plaquette pilu terminée, toujours protégée non pendant cette semaine
25;percutafeine peut être utiliser hommes
26;patch evra commencé donc protégée pdt mois
27;combien prendre temesta
28;deroxat anxiolytique antidépresseur
