cérazette,cerazette
adépal,adepal
sterilet,sterilene
lutéran,luteran
cycléane,cycleane
lyoc,lyo
seroquel,xeroquel
triafémi,triafemi
lutényl,lutenyl
désobel,desobel
déroxat,deroxat
gelsenium,gelsemium
séropram,seropram
prévenar,prevenar
lévothyrox,levothyrox
calcibronate,calcibronat
seropam,seropram
miréna,mirena
bétaserc,betaserc
dépamide,depamide
androcure,androcur
holgyème,holgyeme
efflexor,effexor
sertaline,sertraline
remicad,remicade
strésam,stresam
corticoide,coricide
infarix,infanrix
lisanxia,lysanxia
xénical,xenical
orgastoro,ogastoro
vogalène,vogalene
téralithe,teralithe
efexor,effexor
temestat,temesta
lysopaine,lysocline
lexomyl,lexomil
stédiril,stediril
spéciafoldine,speciafoldine
monéva,moneva
équanil,equanil
trinordiole,trinordiol
luthényl,lutenyl
tégrétol,tegretol
phosphorica,phosphoricum
méningitec,meningitec
minidrill,minidril
débridat,debridat
efféralgant,efferalgan
hydroxyquine,hydroxyzine
azithromycin,azithromycine
sporténine,sportenine
théralène,theralene
evépar,evepar
dépakote,depakote
léxomil,lexomil
arpagophitum,harpagophytum
amoxicillin,amoxicilline
rocéphine,rocephine
amoxiciline,amoxicilline
décontractyl,decontractyl
lysenxia,lysanxia
norlévo,norlevo
locoïd,locoid
miness,minesse
meningite,meningitec
biceptine,biseptine
fortimel,fortigel
roacutane,roaccutane
stillnox,stilnox
luthenyl,lutenyl
segement,serevent
trimordiol,trinordiol
poralamine,polaramine
yasminelle,jasminelle
alvocardyl,avlocardyl
stinox,stilnox
efféralgan,efferalgan
nuraving,nuvaring
cerrazette,cerazette
priopix,priorix
tardyféron,tardyferon
néoral,neoral
solumédrol,solumedrol
notran,noctran
kardégic,kardegic
pentacoq,pentacis
gardasyl,gardasil
hydorcortisone,hydrocortisone
sterilets,sterilene
minoxydil,minoxidil
grifonia,agrimonia
zythromax,zithromax
varoline,varnoline
viscéralgine,visceralgine
abilyfy,abilify
clarytine,clarityne
dolipranes,doliprane
immurel,imurel
stomectol,stromectol
hypericine,hyperamine
risperal,risperdal
relaxis,revaxis
ménopur,menopur
cyclean,cycleane
carbonica,carbonicum
abilifly,abilify
curacnée,curacne
minidrile,minidril
périactine,periactine
tetrazepan,tetrazepam
progesteronum,progesterone
séroquel,xeroquel
gelsémium,gelsemium
strepsil,strepsils
prevnar,prevenar
tetramysal,tetralysal
bexero,bexsero
microvial,microval
xanac,xanax
antibios,antibio
bromazepan,bromazepam
alprozolam,alprazolam
euphitose,euphytose
trophygil,trophigil
jasminielle,jasminelle
aturgil,aturgyl
ignitia,ignatia
hélicobacter,helicobacter
amoxyciline,amoxicilline
steriler,sterilene
prosac,prozac
celestène,celestene
amoxilline,amoxicilline
trinordyol,trinordiol
chlormadione,chlormadinone
spotog,spotof
curacné,curacne
kétoderm,ketoderm
dtpe,dtpa
estrev,estreva
ténoretic,tenoretic
stérogyl,sterogyl
tricelest,tricilest
naxproxen,naproxene
ethinilestradiol,ethinylestradiol
célestene,celestene
orgametil,orgametril
kardefic,kardegic
extranaze,extranase
avocardil,avlocardyl
gardazil,gardasil
triafermi,triafemi
duphastone,duphaston
detoxat,deroxat
optidtil,optidril
optimisette,optimizette
gardasi,gardasil
gelsemiuim,gelsemium
déturgylone,deturgylone
gerdazil,gardasil
floxifral,floxyfral
proitrine,prostine
voltaréne,voltarene
andorcur,androcur
mynocicline,minocycline
naturland,natulan
dolyprane,doliprane
cytotek,cytotec
ludeale,ludeal
oeuphytoses,euphytose
seoplex,seroplex
floradil,foradil
alverine,elvorine
kethoderm,ketoderm
urosuphon,urosiphon
physiogyne,physiogine
trophicrème,trophicreme
paracétamole,paracetamol
ymbicort,symbicort
provannes,provames
claritine,clarityne
modlodal,modiodal
orbénine,orbenine
colposeptine…,colposeptine
attarax,atarax
lorezepam,lorazepam
callendula,calendula
magnogène,magnogene
jasminellee,jasminelle
tronordiol,trinordiol
pontalgine,prontalgine
immovane,imovane
josacyne,josacine
caseine,cafeine
eucaliptine,eucalyptine
leffexor,effexor
anserine,mianserine
jesminelle,jasminelle
mifégyne,mifegyne
europhytose,euphytose
effexo,effexor
bélara,belara
mométasone,mometasone
lozazepam,lorazepam
carbopol,carbophos
spiromax,epitomax
lixanxia,lysanxia
transpeg,transipeg
ibiprofene,ibuprofene
ponstil,ponstyl
typhum,typhim
helicobactère,helicobacter
levocétirizine,levocetirizine
panthoprazole,pantoprazole
lutenil,lutenyl
holgyome,holgyeme
phaéva,phaeva
hémoclar,hemoclar
boostrixterra,boostrixtetra
gardasile,gardasil
effeor,effexor
granion,granions
vertrige,vectrine
endrocure,androcur
cefpodoxine,cefpodoxime
lonten,lonoten
ibuprophene,ibuprofene
létrozole,letrozole
zoély,zoely
nasocort,nasacort
skénan,skenan
levthyroxine,levothyroxine
betaméthasone,betamethasone
minidri,minidril
mitélase,mytelase
trinardiol,trinordiol
tétravac,tetravac
silecea,silicea
minazol,monazol
prothuiaden,prothiaden
tinordiol,trinordiol
luysanxia,lysanxia
milepertuis,millepertuis
uvédose,uvedose
gestodène,gestodene
surgestonne,surgestone
jaminelle,jasminelle
terginan,tergynan
norofloxacine,norfloxacine
hypérium,hyperium
ludoz,lodoz
médrol,medrol
micoster,mycoster
noctram,noctran
ténormine,tenormine
effecor,effexor
minrena,mirena
hélicidine,helicidine
norelevo,norlevo
duphastons,duphaston
leloo,leeloo
aripiprazol,aripiprazole
orgamétril,orgametril
leprozol,letrozole
microvla,microval
creatine,covatine
cyprotèrone,cyproterone
multibolic,multibic
omeprazol,omeprazole
cepodoxime,cefpodoxime
ignata,ignatia
efferlgan,efferalgan
monazo,monazol
calcaréa,calcarea
cortrancyl,cortancyl
lovénox,lovenox
lamictale,lamictal
theralith,teralithe
mlillepertuis,millepertuis
ceterizine,cetirizine
micycline,minocycline
infranrix,infanrix
ketoderme,ketoderm
lithoderm,lithioderm
chammilla,chamomilla
provame,provames
muriacum,muriaticum
soprolol,bisoprolol
daphalgan,dafalgan
tujeo,toujeo
primpera,primperan
mébéverine,mebeverine
valdonxan,valdoxan
vasorbal,vasobral
zyprex,zyprexa
monotest,monosept
andocur,androcur
protegés,protelos
endotélon,endotelon
mépronizine,mepronizine
prozas,prozac
