aujourhui,aujourdhui
indesirables,indésirables
preservatif,préservatif
préscrit,prescrit
pilulle,pilule
apetit,petit
depresseur,dresseur
gellules,cellules
somnifere,somnifã¨re
microdosée,microcosme
homeopathie,homéopathie
spottings,sporting
demangeaisons,démangeaisons
grossese,grosses
douleureuses,douloureuses
colliques,coliques
seconadire,secondaire
indesirable,indésirable
anxiolitique,anxiolytique
prescit,prescrit
vacin,vain
anxiolitiques,anxiolytiques
neuroléptique,neuroleptiques
essouflée,essouffle
dependante,cependant
zonbie,zombie
spoting,sporting
quelun,quelqun
gellule,cellule
repri,repris
fatiguee,fatigue
depresseurs,oppresseurs
gelule,gelula
ventr,venir
simplemen,simplement
dadaptation,adaptation
anxyolitique,anxiolytique
peremption,perception
alergie,allergie
someil,soleil
comprimes,comprises
ovulé,ovule
presrit,prescrit
anovulant,annulant
annorexie,anorexie
poussees,pousses
brulûres,brulures
aujourdui,aujourdhui
arretées,arretes
paupieres,papiers
prescrir,prescrit
enfet,effet
poussee,pousser
folic,flic
precrit,prescrit
papilloma,papillon
remplacable,implacable
antitetanique,antitétanique
exiiste,existe
bouffees,bouffes
cèsse,casse
gronchon,ronchon
insommie,insomnie
comprim,compris
pilul,pilule
imression,impression
azinc,zinc
antidepresseurs,antidépresseurs
pilulles,pilules
fiévre,fievre
weled,weed
inquiter,inquieter
supositoire,suppositoire
obligatoiremen,obligatoirement
suportait,supportait
jattends,attends
conseillerez,conseiller
est¨ce,estce
hemoglobine,hémoglobine
interuption,interruption
antiobiotique,antibiotique
chopée,chope
raports,rapports
completemment,completement
psychlogue,psychologue
jentendais,entendais
urtile,utile
quisse,puisse
ppelle,appelle
medicamment,medicaments
anule,angle
sillice,silice
coucheé,coucher
ateinte,atteinte
augumenter,augmenter
veroa,verra
enceintre,enceinte
cocqueluche,coqueluche
cuive,cuire
carrence,carence
chiee,chien
apnee,annee
anoncer,annoncer
rappor,rapport
exeptionnels,exceptionnels
smaines,semaines
picotemments,picotements
ultram,ultra
strees,street
angoisée,angoisse
netrouve,retrouve
marront,marrant
contracetif,contraceptif
connaiser,connais
prennne,prenne
chlamidiae,chlamydia
psychote,psychose
siagnements,saignements
extremment,extremement
disgestions,digestion
utiliiser,utiliser
boulimies,boulimie
hallucinogéne,hallucinogã¨ne
cocceluche,coqueluche
flushs,flashs
puisje,puisse
douloureuze,douloureuse
osteoporose,ostéoporose
normalemnt,normalement
scrupulesement,scrupuleusement
respectee,respecte
plaqettes,plaquettes
alyna,alina
copinette,clopinettes
baillaient,brillaient
gracial,gracias
limitte,limite
lananas,ananas
pamplemouss,pamplemousse
aspirne,aspirine
efets,effets
pausse,passe
transission,transmission
homopathie,homéopathie
consta,costa
édans,dans
insemsible,insensible
enchaines,chaines
prescrition,prescription
acoutumance,accoutumance
precris,prescris
gynecologue,gynécologue
arrivepas,arriveras
cholesthérol,cholestérol
concer,cancer
marons,marins
gastros,gastro
gonfe,golfe
lontemp,lontemps
plakettes,plaquettes
avisee,avise
perdrent,perdent
completemen,completement
brulûre,brulure
pourwquoi,pourquoi
tolere,colere
exempls,exemple
iralande,irlande
bronchiteux,bronchite
plaquete,plaquette
eselle,selle
disoluble,insoluble
intermittants,intermittente
piquûre,piqure
porrai,pourrai
extrémment,extremement
savir,savoir
plusa,plus
rnale,anale
juske,juste
suivanteje,suivante
diance,diane
palquette,plaquette
arreterai,arretera
anxiolytiquess,anxiolytiques
hazardeuses,hasardeuse
amplemant,amplement
pendan,pendant
jorai,jordi
connàit,connait
dantalgique,antalgique
pilositée,pilosité
traitemnt,traitement
joubli,oubli
interompe,interrompe
entrainee,entrainer
éssaie,essaie
assimiliée,assimile
japanaise,japonaise
dangereuxi,dangereux
repondrai,rendrai
solager,soulager
decenbre,decembre
vaselinés,vaseline
duver,durer
alternaive,alternative
délivrais,livrais
grossessses,grossesses
levre,livre
afronter,affronter
sestompent,estompent
deprimais,exprimais
preventif,préventif
narrines,narines
vaccinnation,vaccination
arrèt,arret
boufées,bouffes
habitudeest,habitudes
represcrit,prescrit
constiper,constater
jouire,jouir
antobiotiques,antibiotiques
comprimers,comprimer
involonterement,involontairement
imréssion,impression
freéquent,fréquent
neurolepique,neurologique
cdnnait,connait
sutilise,utilise
onfos,infos
triatement,traitement
standardises,standardiste
reveillant,réveillant
remarker,remarier
palludisme,paludisme
menstruer,menstruel
traiment,vraiment
diarrhees,diarrhées
tyleno,tylenol
arrèter,arreter
debuté,debut
associaton,association
