ID,question
0,bonjour trompé forum question alors repose ici pris première fois hier paroxétine matin catastrophe picotement dasn tous corps annonciateur sueur froide très très massive vomissement deux crises depuis heure mat cela semble passer mains reste moites chaude estce normal première fois merci a tous
1,motilium soulagera contre les nausées
2,médecin a prescrit adenyl ème cachet maux tête terribles ème palpitations sueurs froides chaleur intense tête tremblements fourmillements lèvre supérieure difficultés respirer dès arrêt médicament tous les symptômes disparu cela déjà arrivé quelque
3,existe forme adaptée enfant ans micropakine
4,medecin soigne rhino pharingite a prescrit amoxicilline comme anti biotique vraiment cette indication
5,viens apprendre enceinte savez si peux poursuivre rubozinc
6,atrax dangereux long terme
7,sous mercilon nausées saignements
8,atenolol quoi
9,prend trinordiol fin première plaquette première fois ac mn copain pilule donc bien efficace dès debut douleur poitrine impression ils peu grossi ossi plus mal o bas venir e dois minkiété simplement periode dadaptation
10,laroxyl doses faibles stress
11,psy dit prendre mg sertraline matin mg sertraline soir peut prendre mg matin a midi
12,sous antibiotique depuis bientot semaine chope sais quoi nénétte ca gratte cest superficiel ca démenge point lié antibiotique
13,quel vaccin contre cancer col uterus
14,épilepsie havlane
15,vaccins dtpa hépatire b ils possible pendant grossesse
16,viens être mis sous androtardyl depuis semaine souhaitais savoir bout combien injections produit commençait faire effets bout combien jours après chaque injection effets faisaient sentir
17,comment traiter dishydrose si dermoval préparation sulfate cuivre mg eau bain dermalibour marché
18,peu renseignements acomplia pris er cachet matin effets indésirables
19,oroken quels risques
20,peut prendre millepertuis fleurs bach meme temps
21,quand termine plaquette peut avoir rapports sexuels
22,quelle durée conservation tégrétol
23,pilule trinordiol fais grossir
24,pendant les jours sans prise fois plaquette pilules terminée toujours protégée non pendant cette semaine
25,percutafeine peut être utiliser les hommes
26,patch evra commencé donc protégée pdt mois
27,combien prendre temesta
28,deroxat anxiolytique antidépresseur
29,bonjour depuis presque an sous effexor a prescrit xanax cas crise angoisse car fait voila depuis jours angoissée matin soir cela sans raison apparente peux presque plus rien avaler tellement nouée alors habitude mange comme vache moindre chose faire semble insurmontable provoque malaises sais plus quoi faire prends xanax jour alors medecin prescrit les crises malgré xanax mega angoissée non stoptout entourage a remarqué collègues croient enceinte j'ai peur devenir completement agoraphobe plus medecin vacances sais meme si passer xanax dangereux savez combien temps peut durer type crise quels les risques vois psychologue depuis premiere crise donc presque an merci lumieres
30,maman reçoit prescription montelukast mg arrow granulés bébé mois demande si cette forme adaptée alors bébé mange encore solide
31,lidocaïne aide maigrir
32,sensée prendre mg hier pris après avoir pris chaque fois point endormir entendais plein voix venaient partout possible hallucinations irrégularité prise traitement
33,quels les effets secondaires millepertuis
34,viens commencer traitement cystine b depuis jours gaz puis faire
35,procurer vitamine
36,clomipramine peut provoquer bouffées chaleur
37,euphytose utile anxiété
38,medecin spécialiste gastro a prescrit lansoprazole médecin traitant a préscit olmetec mg hypertension depuis qiue les prends ensemble réaction forme petits points rouges très demengeant ambetant apparus puisse droite arreté olmetec les points encore partis après jours faire prendre
39,oscillococcinum > grippe aviaire
40,complément alimentaire fer naturel ça existe
41,prend pilule trinordiol oublier pilule or rapport non protégé pris celle oublier repris dernière pilule normalement risque etre enceinte
42,risperdal neuroleptique
43,risque grosses multiple vec clomid risque filles
44,fortes brulures estomac prends rennie ça fait rien connaissez reméde plus éfficace
45,sous lovenox médicament rupture info quant disponibilité
46,aimerais connaitre les zones exactes application estreva gel
47,famille médicament xanax nordaz
48,a quoi sert risperdal
49,urbanyl
50,savez combien temps agit les effets lysanxia
51,dangereux si depasse dose sirop rhume
52,bonjour problème peu particulier pris première pilule jasminelle vendredi dernier prise h règles commencé nuit jeudi vendredi entre h minuit voudrais savoir si pilule déjà efficace si pris ere pilule trop tard coincide premier jour regles car viens avoir rapport sexuel cours duquel préservatif a craqué conseillez risques grossesse judicieux prenne pilule lendemain merci avance lucile
53,atarax les crise angoisse
54,méthotrexate origine composants
55,commencé mélodia voulais savoir si protégé dès première prise
56,prix générique lisinopril mg passé subitement € € normal
57,cefpodoxime quinolone
58,viens reprendre trinordiol h habitude prends vers h semble avoir compris fallait reprendre heure après les jours arrêt risque
59,peut couper les comprimés seropram
