ID,question
0,bonjour je m suis tromp de forum pour ma question alor je la repos ici je pris pour la premi fois hi du paroxétin et ce matin est une catastroph picot dasn tous le corp annonci de sueur froid tres tres massiv et de vom en suis à deux cris depuis heur du mat la cel sembl pass me me main rest moit et chaud estce normal pour la premi fois merc a tous
1,est ce que le motilium me soulag contr le naus
2,mon médecin a prescr adenyl au ème cachet de maux de têt terribl et au ème palpit sueur froid chaleur intens dan la têt trembl fourmill dan la levr supérieur difficult à respir des arrêt du médic tous le symptôm ont disparu cel est il déjà arriv à quelqu un
3,est ce que il exist une form adapt aux enfant de an du micropakin
4,mon medecin me soign pour une rhino pharingit et a prescr du amoxicilline comm anti biotiqu est ce vrai pour cet indiqu
5,je vien apprendr que je suis enceint sav vous si je peux poursuivr le rubozinc
6,atrax est il pas danger au long term
7,je suis sous mercilon ai de naus et de saign
8,atenolol est quoi
9,je prend trinordiol et à la fin de ma premi plaquet ai eu ma premi fois ac mn copain la pilule est donc bien efficac des le debut ai de douleur dan la poitrin ai impress que il ont un peu gross ossi de plus ai mal o bas du venir e dois je minkiet ou c simplement la period dadapt
10,laroxyl à dos faibl pour le stress
11,mon psy me dit de prendr mg de sertralin la matin et mg de sertralin le soir peut on prendr mg soit le matin ou a mid
12,je suis sous antiobiot depuis bientot une semain et je me suis chop je ne sais quoi à ma nénett ca gratt cest superficiel mais ca démeng à un point est ce li à antibiot
13,quel vaccin contr le canc du col de uterus
14,épileps et havlan
15,vaccin dtpa et hépatir b sont il possibl pend la grossess
16,je vien être mis sous androtardyl depuis semain je souhait savoir au bout de combien inject le produit commenc à fair se effet et au bout de combien de jour apres chaqu inject se effet se fais sent
17,comment trait une dishydros si le dermoval et une prépar sulfat de cuivr mg l eau en bain et dermalibour ont pas march
18,un peu de renseign sur acompli ai pris mon er cachet ce matin avez vous eu de effet indésir
19,oroken quel risqu
20,peut on prendr millepertuis et fleur de bach en mem temp
21,quand on termin sa plaquet peut on avoir de raport sexuel
22,quel est la dur de conserv du tégrétol
23,est ce que la pilule trinordiol fais gross
24,pend le jour san pris une fois la plaquet de pilule termin est on toujour proteg ou non pend cet semain
25,percutafein peut il être utilis par le homm
26,patch evra commenc à j et donc est ce que je ne suis pas proteg pdt mois
27,combien prendr de temest
28,deroxat est un anxiolyt ou un antidépresseur
29,bonjour depuis presqu un an je suis sous effexor on a prescr du xanax en cas de cris angoiss car en ai fait ou mais voil depuis jour je suis angoiss du matin au soir et cel san raison apparent je ne peux presqu plus rien aval tel je suis nou alor que habitud je mang comm une vach la moindr chos à fair me sembl insurmont et me provoqu de malais je ne sais plus quoi fair je prend un xanax par jour alor que mon medecin me avait prescr pour le cris malgr le xanax je suis meg angoiss non stoptout mon entourag a remarqu et me collègu me croient enceint j'ai peur de deven completent agoraphob de plus mon medecin est en vacanc et je ne sais mem pas si pass à xanax ser danger sav vous combien de temp peut dur ce typ de cris quel sont le risqu je vois une psychlogu depuis ma premier cris donc presqu un an merc de vos lumier
30,une maman reçoit la prescrit de montelukast mg arrow granul pour son beb de mois elle demand si cet form est adapt alor que son beb ne mang pas encor solid
31,la lidocaïn aid t elle à maigr
32,je suis sens prendr mg mais hi ai pris un apres avoir pris à chaqu fois que étais sur le point de endorm jentend plein de voix qui ven de partout est ce possibl que ce hallucin soient du à irrégular de la pris du trait
33,quel sont le effet secondair du millepertuis
34,je vien de commenc le trait cystin b depuis jour et ai de gaz que puis je fair
35,ou se procur la vitamin c
36,la clomipramin peut elle provoqu de bouff de chaleur
37,euphytos est urtil pour anxiet
38,le medecin spécial gastro a prescr lansoprazol mon médecin trait a presc olmetec mg pour hypertens et depuis qiu je le prend ensembl une réaction se form de petit point roug tres demeng et ambet sont apparus sur ma quiss droit ai arret olmetec mais le point ne sont pas encor part apres jour que fair ou prendr
39,oscillococcinum > gripp aviair
40,compl alimentair de fer naturel ça exist
41,je prend la pilule trinordiol et avais oubli une pilule or ai eu un rapport non proteg je ai pas pris cel que avais oubli et ai repr ma derni pilule normal e que il y aur risqu etre enceint
42,risperdal neurolept
43,risqu de grosses multipl vec clomid et risqu de fill
44,ai de fort brulur estomac je prend du ren et ça ne me fait rien connaiss vous un remed plus éfficac
45,je suis sous lovenox et ce médic est en ruptur avez vous de info quant à sa disponibil
46,aim connaitr le zon exact appliqu de estrev gel
47,famill de médic de xanax et nordaz
48,a quoi sert le risperdal
49,urbanyl
50,sav vous combien de temp agit le effet du lysanxi
51,est ce danger si je dep la dos du sirop pour le rhum
52,bonjour ai un problem un peu particuli ai pris ma premi pilule jasminel vendred derni je ai pris à h et me regl avaient commenc dan la nuit de jeud à vendred entre h et minuit je voudr savoir si ma pilule est déjà efficac ou si ai pris ma ere pilule trop tard pour que elle coincid avec le premi jour de me regl car je vien avoir un rapport sexuel au cour duquel le préserv a craqu que me conseil vous ai je de risqu de grosses ser il judici que je pren la pilule du lendemain merc avanc lucil
53,atarax pour le cris angoiss
54,méthotrexat origin de compos
55,ai commenc mélodi je voul savoir si je suis proteg des la premi pris
56,le prix du géner lisinopril mg est pass subit de € à € est ce normal
57,cefpodoxim est une quinolon
58,je vien de reprendr trinordiol à h habitud je la prend ver h il me sembl avoir compr que il fall la reprendr à la mêm heur apres le jour arrêt y aur t il un risqu
59,peut on coup le compris de seropram
60,aim reprendr la pilule jasmin mais ai tel peur de reprendr du poid quel pilule est cens ne pas fair prendr de poid
61,abilify sur quoi agit il sur quel recepteur
62,effexor et x mg surmontil par jour que en pens vous
63,ma mer qui a de oeudem au pied chevill et plant de pied est vu prescrit amlor et tenoretic combien de temp avant que cel ne partent
64,xanax ou valium san ordon
65,à quel moment se prend le novonorm
66,combien de temp faut il pour que on ressent augment de dos du valium
67,bonjour je prend effexor depuis une semain et dem je suis auss tres enrhum et fatigu voir abrut surtout apres mid ai du mal à savoir si est du au médic mais ai impress est ce un symptom fréquent et et surtout est ce que ça pass par contr ai impress avoir été beaucoup moin déprim des le premi jour ai mêm peur de perdr me émot cel est il possibl quelqu un pourr aid
68,sterogyl seul pour le adutl
69,bonjour je suis en train de prendr une pillul qui ppel daily gé il y a un problem est que me sein sont toujour gonfl et ca me fait mal mon medecin a prescr jasminel mais il par que il est possibl avoir de saign en la pren a quoi ca sert alor et est ce que me sein vont redeven normal parc uqe ca fait vrai mal merc beaucoup
70,solian assom est ce normal
71,enceint et vaccin gripp a
72,je suis sous deroxat et je souffr de secheress oculair est ce cour
73,quelqu un a t il eu mêm au tout début de jasmin une énorm pouss acné
74,je pren la pilule ludéal gé depuis pres de an ai récent chang pour leeloo mais aujourdhui ai de symptôm de nervos dépress graiss abdominal et naus que pens vous de tout ca
75,je souhait savoir quel est le prix du vermifug humain
76,je prend jasmin ai de regl bizarr est ce que habituel avec ce médic
77,y a t il de médic contr agoraphob
78,oubl de pilule microval et relat le soir de oubl
79,help dépend ixprim
80,par quoi puis je remplac engerix
81,une copin souffr une épin calcanéen depuis octobr connaiss vous de trait qui marchent
82,y a t il un medic qui peu m aid a calm anxiet car le prozac ne calm pas vrai
83,arret du mepronizin quel effet
84,puis je arrêt microval au cour de ma plaquet
85,malad avec le méthotrexat
86,quel crem pour mycos génital puis je avoir en pharmac san ordon
87,on peut port un patch evra en continu
88,efferalgan est il compatibl avec la grossess
89,aim savoir le vertus du millepertuis favoris t il la mémoir
90,bonjour je me suis réveil dimanch matin avec de urticair sur le jamb et un peu sur le bras je suis allé voir mon médecin hi il en a déduit que était une allerg au stresam ai arrêt mon trait des dimanch matin et a prescr poralamin en ai pris hi soir mais en me lev ce matin ai vu que avais à présent de urticair sur le décollet et sur le bras et le main est bien moin import que sur le jamb mais quand mêm je inquiet est ce normal que urticair continu de mont malgr le poralamin dois je craindr un oedem de quinck merc
91,je voudr savoir si betaserc serc et lectil ont la mêm molécul
92,que est ce que le primperan
93,quel medic me conseil vous pour le nause
