topic_id,top_word_1,top_word_2,top_word_3,top_word_4,top_word_5,top_word_6,top_word_7,top_word_8,top_word_9,top_word_10,top_word_11,top_word_12,top_word_13,top_word_14,top_word_15,top_word_16,top_word_17,top_word_18,top_word_19,top_word_20,top_word_21,top_word_22,top_word_23,top_word_24,top_word_25,top_word_26,top_word_27,top_word_28,top_word_29,top_word_30,top_word_31,top_word_32,top_word_33,top_word_34,top_word_35,top_word_36,top_word_37,top_word_38,top_word_39,top_word_40,top_word_41,top_word_42,top_word_43,top_word_44,top_word_45,top_word_46,top_word_47,top_word_48,top_word_49,top_word_50
0,depuis,prend,plus,semain,ça,an,normal,quelqu,mal,cel,tout,pens,problem,peu,ca,arriv,ventr,tres,cet,comm,douleur,bonjour,saign,merc,pert,fatigu,mainten,va,toujour,médic,deux,environ,bien,car,auss,fait,pillul,vertig,avoir,naus,déjà,autr,impress,fais,sen,chang,alor,angoiss,bas,hi
1,secondair,effet,infanrixquint,tolexin,zoloft,influenzinum,microval,don,trinordiol,rotarix,prescr,lexomil,citalopram,gripp,beaucoup,abilify,laroxyl,zyprex,dostinex,foliqu,lutéran,lutenyl,tamik,minidril,dompéridon,stablon,lévothyrox,quel,harpagophytum,stilnox,norlevo,levothyrox,acid,pyostacin,haldol,belar,miness,parlodel,leponex,stratt,entrain,hydroxyquin,apo,gên,le,dur,doulour,surgeston,gardasil,ressent
2,quel,dosag,dos,posolog,médic,thérapeut,altern,indiqu,maximal,form,leponex,vitamin,moment,action,class,util,recommand,cas,différent,appartient,rivotril,arnic,prix,effet,enfant,heur,del,galen,dem,age,vi,chez,conséquent,prescript,ch,le,nom,disponibl,solut,infanrixquint,dci,présent,ruptur,fréquenc,circadin,existent,composit,clomid,list,journ
3,grossess,pend,possibl,levothyrox,prescrir,dur,champix,aerius,dang,flagyl,test,autoris,ginkor,essentiel,début,compatibl,vogalen,subutex,lysopain,azithromycin,depakot,semain,efferalgan,primperan,danger,huil,broncoclar,antibio,antibiot,fort,rhum,norlevo,evotirox,oflocet,voltaren,pevaryl,si,cetirizin,imovan,propos,lamictal,xalatan,coaprovel,depamid,vastarel,fazol,lamalin,pris,harpagophytum,hépatir
4,vaccin,gripp,hépatit,dtp,varicel,ror,gardasil,exist,rappel,fievr,inject,hepatit,tétanos,polio,col,méningit,contr,apres,an,réaction,jaun,utérus,dt,où,fil,fait,enfant,tetanos,tp,anti,question,avant,rubéol,obligatoir,revax,rhum,age,frigo,papillomavirus,canc,beb,rougeol,refair,possibl,non,gastro,neisvac,trouv,pentavac,disponibl
5,combien,temp,bout,efficac,effet,faut,dur,attendr,agir,met,agit,apres,fass,mem,xenical,fait,granul,sertralin,lumali,norlevo,apre,pend,conserv,durent,sang,proteg,goutt,svp,part,rotarix,avoir,fois,corp,temest,avant,monuril,savoir,cout,antibio,rest,dolipran,adépal,coût,ça,ch,élimin,orbenin,action,xénical,thymulin
6,deroxat,fatigu,gener,semain,sueur,sensat,librax,beb,pass,vertig,pourquoi,question,sav,facil,anxiolyt,arret,renseign,vidal,mid,tet,passag,prescript,zéro,reveil,dur,vi,absenc,effet,début,brutal,avlocardyl,nocturn,tranxen,nuit,dos,impress,precoc,cauchemard,matin,phob,autr,efficacit,remplac,toujour,ejacul,ça,angoiss,pap,gros,hépat
7,peut,prescrir,être,provoqu,don,pend,remplac,délivr,substitu,an,dolipran,chez,femm,caus,enfant,beb,aid,etre,millepertuis,avoir,coup,associ,médic,entrain,dir,patient,dépend,solupred,allait,conduir,lovenox,primperan,ibuprofen,quelqu,entraîn,renseign,troubl,sirop,essai,dos,général,rivotril,temp,apres,si,nourrisson,trembl,dysphon,plavix,augment
8,quoi,sert,remplac,ça,vicodin,zoloft,ca,androcur,stablon,xeroquel,médic,spasfon,stresam,servent,depakin,laroxyl,risperdal,substitu,paracetamol,ch,lexomil,mianserin,nexplanon,physiogin,calcibronat,melodi,utrogestan,depakot,decontractyl,temestat,donc,exact,lovenox,sais,vrai,ritalin,pulsatill,nasonex,mildac,oromon,glucophag,tegretol,pariet,tigreat,tanakan,antihistamin,buspiron,felden,simvastatin,largactil
9,oubl,mélodi,proteg,semain,rapport,apres,microval,continu,androcur,mélian,conseil,pdt,heur,norlévo,dur,bon,eme,non,deuxiem,pris,miness,solut,del,aid,apre,fais,relat,adepal,optimizet,zoely,hi,lutéal,luteran,er,inefficac,jasmin,mines,désobel,doit,norlevo,jeud,max,aucun,urgent,vrai,autr,varolin,répet,moyen,ven
